Questions,Answers,Section,Sentence,Keyword
what is california polytechnic state university?,,introduction,,
what is cal poly?,"Cal Poly is a public university in San Luis Obispo, California.",introduction,"California Polytechnic State University (California Polytechnic State University, San Luis Obispo,) is a public university in San Luis Obispo, California.",
where is california polytechnic state university?,,introduction,,
where is cal poly?,,introduction,,
what is cal poly's academic focus?,,introduction,,
How many colleges does Cal Poly have?,Cal Poly is organized into six colleges.,"academics, colleges","The university currently offers 65 bachelor's degrees, 39 master's degrees, 84 minors and 13 credentials in six colleges:",
How many bachelor's degrees is Cal Poly offering?,Cal Poly offers 65 bachelor's degrees.,introduction,,
How many master's degrees is Cal Poly offering?,Cal Poly offers 39 master's degrees.,introduction,,
How many undergraduate students does Cal Poly have?,"Cal Poly has 20,453 undergraduate students as of fall 2019.",introduction,,
How many graduate students does Cal Poly have?,Cal Poly has 789 graduate students as of fall 2019.,introduction,,
How many masters students does Cal Poly have?,Cal Poly has 789 graduate students as of fall 2019.,introduction,,
Which conference does Cal Poly athletic teams participate?,Cal Poly athletic teams participate in the Big West Conference.,introduction,,
Who is the president of Cal Poly?,,Directors and presidents,,
How was cal poly established?,,history,,
when was cal poly established?,,history,,
what happened to cal poly during World War I?,,history,,
how did World War I affect Cal Poly?,,history,,
When did Cal Poly begin to offer Bachelor's degree?,,history,,
When did Cal Poly begin to offer Master's degree?,,history,,
When was the first class at Cal Poly?,"The polytechnic school held its first classes on October 1, 1903 to 20 students, offering secondary level courses of study, which took three years to complete.",history,,
When did Cal Poly get authorized to offer Master of Science degree?,The college was authorized to offer Master of Science degrees in 1967.,history,,
How does cal poly pomona differ from cal poly san luis obispo?,,"history, relationship with cal poly pomona",,
Can you tell me about Cal Poly plane crash?,"On October 29, 1960, a chartered plane carrying the Cal Poly San Luis Obispo football team, hours after a loss to Bowling Green State University, crashed on takeoff at the Toledo Express Airport in Toledo, Ohio. Twenty-two of the 48 people on board were killed, including 16 players.","history, 1960 football team plane crash",,
What is cal poly football team plane crash?,,"history, 1960 football team plane crash",,
How many people were killed in cal poly plane crash?,,"history, 1960 football team plane crash",,
when is cal poly football team plane crash?,,"history, 1960 football team plane crash",,
When did the first female student get admitted at Cal Poly?,1903,"history, female admissions",,
What are some other names of Cal Poly?,"Cal Poly is also simply called as ""Poly"" or its official name, ""California Polytechnic State University""",name,,
Since when has Jeffrey Armstrong been a president of Cal Poly?,,directors and presidents,,
When did Jeffrey Armstrong become a president of Cal Poly? ,,directors and presidents,,
When was Jeffrey Armstrong a president of Cal Poly?,,directors and presidents,,
How big is cal poly campus?,,campus,,
